Bahasa Ambon,English
betang,"gdt. my (contraction of ""beta pung""). Also beeng."
bia,n. mollusk.
bia asuseng,"n. A marine mollusc that lives in the sand and can be dug up at low tide. Abundant at Waisisil beach, on Saparua."
bia garu,"n. The giant clam, Tridacna gigas."
bia huraing,n. A marine mollusc that lives on drifting logs. Abundant in Hutumuri.
bia kakusang,"n. A mollusc with a brown-spotted conical shell, Conus spp."
bia kodo,n. clam.
bia lola,n. A kind of commercial seashell.
bia mutel,"n. A mollusc, the shell of which spirals, Turbointercostalis."
bia pasir isi,"n. A mollusc, Oliva spp."
bia sondo,"n. A spoon-shaped mollusc, apparently A scallop, Pectinidae."
bia tai kambing,"n. A small mollusc, Morula spp."
biar,vi. abandon. adv. no matter. Biar apa lae = No matter what.
biasa,v. be accustomed to. Dia biasa lari. = He is accustomed to running. adj. 1. ordinary. Orang biasa = ordinary person. 2. well known. Orang biasa = person we know well.
bicaang,n. see bacang.
bicara,n. words. Iko dia pung bicara. = According to his words. v. speak.
bico,n. pot (as in pot-bellied).
bidang,n. midwife.
bigadir,n. brigadier.
biir,n. beer. adj. Used as a modifier for BELLY: poro biir = beer bellied.
biji,"n. 1. seed, nut, pit, kernel. 2. diameter of a fishing line. Tasi biji garoos. = Large diameter monofilament nylon fishing line."
biji kaliir,n. testicle.
biji kalot,n. testicle.
biji mata,n. eyeball.
biji poro,n. swollen spleen.
biji rawa,n. pimple.
biji rukung,n. evil person.
biking,"v. 1. do. Ada biking apa tuu? = What are (you) doing there? 2. make, build. Biking parau. = Build a canoe. 3. fix, repair. Dia ada biking oto. = He is fixing the car. 4. cause. Jang biking beta mara, Do not make me angry. 5. hurt. Sapa biking ose? = Who hurt you? 6. afflict using black magic"
biking bodo,vt. deceive.
biking muka kailolo,v. pretend to be sincere and in need of assistance.
bila-bila,"n. spatula. PAN bilaq, part split off."
bilolo,n. sty in the eye.
binatang,n. 1. animal. 2. subhuman (Common epithet).
binen baan,n. inner tube of a conveyance tire.
bini,n. wife. Ant. laki.
bini piara,n. commonlaw wife.
binongko,see binungku.
bintang,n. star.
bintang kincing,n. meteor.
bintang siang,n. morning star.
bintang tuju,n. The Pleiades.
bintanggor,see bintanggur. Also kanjoli.
bintanggur,"n. A shore tree, (gutt.) calophyllun inophyllum."
bintanggur utang,n. A tree.
bintol,n. bump or welt. cf. babintol.
binungku,n. 1. the name of an island near Sulawesi. 2. a person of Binungku ancestry (often derogatory).
bioskoop,n. movie theater.
biru,"adj. blue, turquoise, or green."
bisa,v. can. adj. (of an animal) venomous or poisonous.
bisi-bisi,v. whisper.
bisol,n. boil. Dia pung bisol mangantaa. = His boil throbbed.
bisul,see bisol.
bitis,see bitis kaki.
bitis kaki,n. calf of leg.
blau,n. see balau.
blimbing,see balimbing.
bluus,n. blouse.
bo-bou,v. 1. stink. Kaki luka bo-bou. = Leg having stinky sore. 2. smell like. Akang bo-bou bensin. = It smells of gasoline. adj. smelly.
boba,n. yaws.
bobengka,see bubengka.
bobo anyer,v. smell of fish.
bobo busu,v. stink.
bobo hosi,v. smell of urine.
bobo rai,v. smell of fish.
bobo tarbae,v. have a bad smell.
bobou,v. have a smell.
bodo,adj. stupid.
bodo-bodo,v. act stupidly. Se bodo-bodo apa ini? = What is this stupid thing you are doing?
bodok,see bodo.
boga-boga,"adj. weak, slow. Bajalang boga-boga. = Walk slowly, as from weakness."
bokor,n. 1. finger washing bowl. 2. bowl the right size and shape for finger washing.
bola,n. 1. ball. 2. soccer.
bole,"v. can. Beta seng bisa manyanyi akang. Ricky bole. = I can not sing it. Ricky can. Ale ni bole lai! = You are pretty good! (You here are okay!). adv. okay. Ale musti kasi beta lai bole. = Okay, (but) you must also give to me. The meaning of this word is very hard to pin down in English. As an adjective or intransitive verb, it means that the subject is acceptable or has succeeded whereas something else has failed. ""Ini bole!"" means something like, ""This, at last, is okay!"" It also means ""I will agree if [condition]."" For example, suppose a buyer offers $19 and a seller holds out for"
bolengkar,v. rummage through things leaving them in a mess. Jang bolengkar sabarang di Mama pung kamar. = Do not go rummaging around in Mothers bedroom. Also balengkar.
bolero,n. a womans dress having a small jacket top that can be removed to expose the shoulders.
bolsak,n. mattress.
bolta,"v. bolt, make a hasty escape."
boltak,vi. fall(?)
bom,n. bomb.
bombong,adj. heaping. Satu cupa bombong. = One heaping milk can full.
bon,n. bill.
boncis,"n. The green bean, Phaseolusvulgaris."
bong-boong,"n. candy, sweet."
bongkar,"v. 1. disassemble in order to repair. Ontua ada bongkar masiin. = He is busy disassembling the engine. 2. unload. Kapal ada bongkar. = The ship is unloading. Kapal ada bongkar moatang. = The ship is unloading its cargo. 3. break up, demolish. Anjing bongkar dinding. = (The) dog broke through the wall. 4. move with explosive force through liquid or particulate matter. Kapal bongkar = the ships propeller created an explosion of turbulance in the water."
bongko,"v. hunch, bend. Maso pintu maleingkang bongko. = To enter the house requires (that you) hunch over. adj. hunched, bent. Balakang bongko = hump backed. cf. buku, bengko, jongko."
bongso,n. youngest (sibling).
bontal,"adj. round. PAN bunteR, round. PAN buntal, puffer fish sp."
bontiana,"n. vengeful ghost of a woman who died in childbirth. PAN buntis, pregnant woman."
boom,n. a the boom of a sailing vessel.
boor,"n. drill. v. drill, bore a hole in."
boot,n. large Butonese or Bugis sailing vessel.
bordelis,"adj. violent, of the wind. (Oma)."
bore,"n. A vine, Derris elliptica, the root of which is used as a medicine and fish poison. v. kill fish with such poison."
borong,v. buy up. Dia borong ikang2 kasabis di pasar. = He bought up all the fish in the market.
borstel,n. 1. bristly brush. 2. brush touching the armature of a dynamo.
botak,"adj. bald. cf. gundul, kising."
botol,n. bottle.
botol bir,"n. beer bottle (usually a fifth-gallon size). In the difficult times after WW2, Ambonese people would tie a string soaked in some fuel about the middle of these, light it, then plunge the bottle into water to the level of the string, which--if all went well--would cause the upper part of the bottle to break off evenly thus leaving a makeshift drinking glass."
botol cebo,n. fifth-of-a-gallon beer bottle now used to hold water for washing the anus after defecation.
botol manci,n. 1. A short evil spirit. 2. an epithet for a short person.
bout,n. bolt.
breneboon,n. brown bean.
broot,"n. bread in its traditional, Dutch loaf form. adj. (of the face) sullen. Parampuang muka broot. = A sullen-faced woman. cf. roti."
brudel,see bruder.
bruder,n. pound cake.
bu,see bung.
bua,n. 1. fruit. 2. muscle.
bua dalima,"n. pomegranate tree and its fruit, Punica granatum."
bua dara,n. a plant.
bua kartu,"n. A shrub with edible leaves and fruits, Sauropus androgynus."
bua nona,"n. A tree, the custard-apple or sweetsop, Annona squamosa. Also siri kaya, surkaya."
bua pinang,"n. areca nut, Areca catechu."
bua putrii,n. A vine having edible fruit.
bua rai,"n. A mangosteen fruit the bottom of which has been cut off, used by children to challenge others to guess the number of its internal compartments. This number of compartments can be read from markings on the bottom of the fruit if it is left intact."
bua rau,n. edible fruit
buang,"v. 1. throw away. 2. heave. 3. flow, as an ocean current. Arus buang ka Ambalau. = The current is moving toward Ambalau."
buaya,n. crocodile.
bubara,n. smaller jack fish. cf. gomaro.
bubengka,n. cake made with flour and coconut cream baked in a mold.
bubor,see bubur.
bubui,n. childs swing. v. swing as on a childs swing.
bubur,n. rice porridge.
bubur nee,n. a kind of rice-porridge preparation.
bui,n. jail.
bui-bui,n. swing.
buju,"v. 1. plead with, try to persuade. Beta buju dia kaweng deng Anis. = I pleaded with her to marry Anis. 2. comfort, lull. Buju ana kastidor. = Lull the baby to sleep."
buka,"vrb. 1. open. Buka pintu dolo, Please open the door. 2. commence. Buka acara. Commence ceremonies. 3. spread. Buka jaring di atas pasir. Spread the nets on the sand. 4. remove. Buka pakeang. Remove (ones) clothing, strip."
buka paha,v. spread the thighs as a woman does for sex.
buku,n. 1. knot. 2. knob. 3. knuckle. 4. book.
buku,"n. 1. bump, hard protuberance. 2. (of bamboo, sugar cane, etc.) joint, partition. 3. book."
buku hobatang,n. book of magic.
buku kaki,n. ankle.
buku tambaga,n. historical document belonging to a village chief.
buku tangang,n. knuckle.
bulan pake payong,n. the moon when having a halo.
bulana,n. see ikang bulana.
bulang,n. 1. moon. 2. month.
bulang makarau,n. eclipse of the moon.
bulang mati,n. dark moon.
bulang pono,n. full moon.
bulu,"n. 1. hair, fur. 2. feather. 3. bamboo."
bulu ayang,"n. fish lure, usually made of rooster feathers tied to a hook."
bulu gila,n. 1. magical bamboo used in a special kind of dance. 2. the event associated with this dance.
bulu jawa,n. A bamboo.
bulu kaniing,n. hair of the eyebrow.
bulu loleba,"n. a bamboo, Bambusa verticillata Bl."
bulu mata,n. eyelash.
bulu nyawa,n. body hair.
bulu patoong,n. a kind of bamboo.
bulu rambu,n. hair of the head.
bulu sero,n. A kind of bamboo.
bulu suanggi,n. A bamboo.
bulu tui,"n. A bamboo, Bambusa longinodis Miq."
bung,"n. older brother. Form of address for a male older than oneself but not enough older to be called ""oom."" Ant. usi."
bunga,n. flower.
bunga ampa oras,"n. A flowering plant, apparently Mirabilis jalapa."
bunga aster,n. Various flowering plants including the aster.
bunga biludu,"n. A flowering shrub, Celosia argenta."
bunga gambir,"n. A flowering plant, perhaps a tropical gardenia."
bunga gula,see gula-gula.
bunga mantega,"n. A flowering plant, apparently the marigold, Tagetes patula"
bunga matahari,"n. A flowering plant, the sunflower, Helianthus annus."
bunga molati,"n. jasmine, a flowering shrub, Jasminum officinalis."
bunga rampe,n. A mixture or nosegay of several flowers and fragrant leaves distributed at ceremonial meals.
bunga ron,n. garland of flowers worn on the head(?)
bunga roos,"n. rose, a flowering plant of the genus Rosa."
bunga sarune,n. A flowering plant.
bunga teratai,"n. lotus flower, Nelumbo nucifera.:."
bungang-bungang,n. roof ridge.
buntiana,see bontiana.
bunting,adj. pregnant. Also mangandong.
bunting batu,adj. (of a woman) diseased with stomach cancer.
burong,see burung.
burung,n. 1. bird. 2. male genitalia (also burong).
burung cui,n. a kind of bird.
burung guheba,"n. The osprey, or Pandion Haliactus."
burung hantu,n. owl.
burung kakatua,n. cocatoo. cf. kakatua.
burung kasturi,n. see kasturi.
burung lawa-lawa,"n. A bird, the swallow."
burung makang ayang,"n. A hawk, Accipitridae"
burung maleo,"n. A mound bird, the maleo, Megapodiidae."
burung padi,n. A bird.
burung pombo,"n. A bird, the forestdove, Columbidae."
burung samar,n. A sea bird.
burung suanggi,n. owl.
burung talang,"n. seagull, Laridae."
burung taong,see burung taong-taong.
burung taong-taong,"n. A bird, the Moluccan hornbill, Bucerotidae."
burung toi,"n. A green parrot, smaller than the laka toke, Psittaciformes."
burung tukang,n. A bird that makes a sound akin to the hammering of nails among the mangroves on moonlit nights.
busi,n. spark plug.
busu,adj. rotten.
buta,adj. blind.
buta ayang,adj. suffering from night blindness.
buta huruf,adj. illiterate.
butu,n. penis.
butu anging,"n. twister, water spout, tornado."
butu balanda,n. a plant having edible tubors.
butu galoba,adj. uncircumcised.
buu,see / lihat bung.
caah,itj. an exclamation of acclaim for something well-done.
caar,adv. sound of underbrush or gravel disturbed by footsteps.
caat,"n. paint, v. paint. Caat akang bagus-bagus. = Paint it nice."
cabar,v. challenge.
cabu,v. 1. extract. 2. pull out (as an automobile from a stopped position).
cacar,n. smallpox.
cacing,n. worm.
cacupu,n. 1. A kind of handleless sugar bowl. 2. A kind of round container for storing incense. 3. A small piece of hardwood placed transversely in a canoe to receive outrigger lashings (Oma vocabulary).
cakaa,"v. throttle, strangle."
cakadidi,"adj. showing too much activity or enthusiasm, especially of a sexually motivated nature. Parampuang cakadidi! = (You) overexcited female!"
cakalang,see ikang cakalang.
cakalate,adj. middle-aged. Also jamaang.
cakalele,v. perform a war dance.
cakar,v. scratch at like a chicken scratches the ground.
cakar ayang,n. chicken scratch (bad handwriting).
cakar-cakar,n. A kind of sweetmeat.
cakee,(vulgar) eat.
cakiba,n. A type of folk dance performed by women.
calana,"n. pants, underpants. Also karsaang."
calana panjang,"n. long pants, trousers."
calana simpang konto,n. overalls.
calana tali,n. local boxer shorts.
camara,n. a swatch of human hair to add to one's hair bun.
cambook,n. whip. vt. whip.
campadaa,n. A kind of jack fruit. cf. nangka.
campor,"v. 1. mix, blend. 2. meddle."
canela,n. traditional Moluccan lady's embroidered sandals with upturned toes.
cangkol,"n. mattock, a hoe-like tool for breaking earth. Also pacol."
cangkoor,n. A variety of ginger.
cap,n. brand.
cap forok,n. fork brand. Steel knives having this brand were long considered to have the best steel available in Maluku.
cap tikus,n. (Manado) drinking alcohol distilled from palm wine. Also sopi.
capaat,v. hurry up. adj. fast.
caparune,see caparuni.
caparuni,adj. filthy.
capatu,n. boot or shoe. Also sapatu.
capatu lars,n. military boot.
capcai,n. Chinese stir-fried vegetables.
capeu,n. hat.
cari,"v. seek, search for."
cari mati,v. take a foolhardy risk.
cari tau,"v. investigate, try to find out."
